anchor,positive,negative
UGIETE DESENVOLVIMENTO LTDA - UGIETE,UGIETE DESENVOLV,M J RAMOS BEZERRA LINS - NUTRISERVICE
UGIETE DESENVOLVIMENTO LTDA - UGIETE,UGIETE DESENVOLV,BESIX - BESIX
FUNDO MUNICIPAL DE EDUCACAO - FME - FUNDO MUNICIPAL DE EDUCACAO FME,EDUCAÇÃO FME,INSTITUTO AGENTE MUDA - I AM
FUNDO MUNICIPAL DE EDUCACAO - FME - FUNDO MUNICIPAL DE EDUCACAO FME,EDUCAÇÃO FME,INSTITUTO CRIANDO ARTE - IAC
FUNDO MUNICIPAL DE EDUCACAO - FME - FUNDO MUNICIPAL DE EDUCACAO FME,EDUCAÇÃO FME,FUNDO MUNICIPAL DE EDUCACAO - FME - FME
SECRETARIA DE ESTADO DE SAUDE - SES - POSTO VILA UNIAO,VILA UNIÃO,COOPERATIVA MISTA SAO LUIZ LTDA - COOPERMIL
SECRETARIA DE ESTADO DE SAUDE - SES - POSTO VILA UNIAO,VILA UNIÃO,INSTITUTO NASCE - CASA AMPARO
SECRETARIA DE ESTADO DE SAUDE - SES - POSTO VILA UNIAO,VILA UNIÃO,DEPARTAMENTO MUNICIPAL DE HABITACAO - DEMHAB
ASSOCIACAO DE POKER R27 POKER CLUB DE CATALAO - GO - ASSOCIACAO DE POKER R27 POKER CLUB DE CATALAO - GO,ASSOCIAÇÃO DE POKER,DEPARTAMENTO MUNICIPAL DE HABITACAO - DEMHAB
ASSOCIACAO DE POKER R27 POKER CLUB DE CATALAO - GO - ASSOCIACAO DE POKER R27 POKER CLUB DE CATALAO - GO,ASSOCIAÇÃO DE POKER,HARDBALL LTDA EM RECUPERACAO JUDICIAL - CRAWFORD
ASSOCIACAO DE POKER R27 POKER CLUB DE CATALAO - GO - ASSOCIACAO DE POKER R27 POKER CLUB DE CATALAO - GO,ASSOCIAÇÃO DE POKER,RESIDENCIAL PHOENIX - PHOENIX
ASSOCIACAO DOS PROFESSORES E FUNCIONARIOS DA FUNDACAO UNIVERSIDADE DO CONTESTADO CAMPUS UNIVERSITARIO DE CANOINHAS - AFFUNC,UNIVERSIDADE DO CONTESTADO,CENTRO DO PROFESSORADO PAULISTA - CENTRAL DE CURSOS DO CPP
ASSOCIACAO DOS PROFESSORES E FUNCIONARIOS DA FUNDACAO UNIVERSIDADE DO CONTESTADO CAMPUS UNIVERSITARIO DE CANOINHAS - AFFUNC,UNIVERSIDADE DO CONTESTADO,INSTITUTO NASCE - CASA AMPARO
ASSOCIACAO DOS PROFESSORES E FUNCIONARIOS DA FUNDACAO UNIVERSIDADE DO CONTESTADO CAMPUS UNIVERSITARIO DE CANOINHAS - AFFUNC,UNIVERSIDADE DO CONTESTADO,ESTUDIO DO NEON LTDA - ESTUDIO DO NEON
F PAGANINI COMUNICACAO LTDA - F PAGANINI COMUNICACAO,F PAGANINI,CRBS S/A - CDC CACERES
F PAGANINI COMUNICACAO LTDA - F PAGANINI COMUNICACAO,F PAGANINI,SAPORE S.A. - CR 1002
F PAGANINI COMUNICACAO LTDA - F PAGANINI COMUNICACAO,F PAGANINI,SAPORE S.A. - CR 1017
J R SILVICULTURA LTDA - J R SILVICULTURA,J R SILVICULTURA,IB ALIMENTOS LTDA - CPD IMPERADOR
J R SILVICULTURA LTDA - J R SILVICULTURA,J R SILVICULTURA,R DE S LEITE REPRESENTACOES - ROBISNEIA REPRESENTACOES
J R SILVICULTURA LTDA - J R SILVICULTURA,J R SILVICULTURA,M J RAMOS BEZERRA LINS - NUTRISERVICE
BANCO SANTANDER (BRASIL) S.A. - AGENCIA URB - SP - AV. CONS. CARRAO,SANTANDER AB. CARRAO,M. C. INTERIORES LTDA - DIVARO INTERIORES
BANCO SANTANDER (BRASIL) S.A. - AGENCIA URB - SP - AV. CONS. CARRAO,SANTANDER AB. CARRAO,EMPRESA DE ONIBUS CORONEL PILAR LTDA. - REALTUR
BANCO SANTANDER (BRASIL) S.A. - AGENCIA URB - SP - AV. CONS. CARRAO,SANTANDER AB. CARRAO,BANCO SANTANDER (BRASIL) S.A. - MALCANDRON
BANCO SANTANDER (BRASIL) S.A. - SANTA LUZIA- MG I,SANTA LUZIA MG,UNETRAL SA - POSTO UNIAO
BANCO SANTANDER (BRASIL) S.A. - SANTA LUZIA- MG I,SANTA LUZIA MG,FLORESTECA S/A - FAZENDA PARAISO
BANCO SANTANDER (BRASIL) S.A. - SANTA LUZIA- MG I,SANTA LUZIA MG,COOPERATIVA MISTA SAO LUIZ LTDA - COOPERMIL
AUTO POSTO LUIZ GUERRA LTDA - POSTO LUIZ GUERRA,POSTO LUIZ,UNETRAL SA - POSTO UNIAO
AUTO POSTO LUIZ GUERRA LTDA - POSTO LUIZ GUERRA,POSTO LUIZ,MILI S/A - MILI
AUTO POSTO LUIZ GUERRA LTDA - POSTO LUIZ GUERRA,POSTO LUIZ,INSTITUTO NASCE - CASA AMPARO
SC BORBA CONSTRUCOES LTDA - SC BORBA,S C BORBA,GRAZZIOTIN S A - GZT MERCADO
SC BORBA CONSTRUCOES LTDA - SC BORBA,S C BORBA,GRAZZIOTIN S A - TOTTAL
SC BORBA CONSTRUCOES LTDA - SC BORBA,S C BORBA,GRAZZIOTIN S A - GZT
RESIDENCIAL BOM VIVER - RESIDENCIAL BOM VIVER,BOM VIVIR,BESIX - BESIX
RESIDENCIAL BOM VIVER - RESIDENCIAL BOM VIVER,BOM VIVIR,IB ALIMENTOS LTDA - CPD IMPERADOR
RESIDENCIAL BOM VIVER - RESIDENCIAL BOM VIVER,BOM VIVIR,TIM CAR LIMITADA - TIM CAR
IGREJA EVANGELICA ASSEMBLEIA DE DEUS NEEMIAS CRUZEIRO DO SUL - IGREJA EVANGELICA ASSEMBLEIA DE DEUS NEEMIAS CRUZEIRO D,NEEMIAS IGREJA EBANJELICA,COMUNIDADE EVANGELICA DE PORTO ALEGRE - CASA DE PASSAGEM SAO LUCAS
IGREJA EVANGELICA ASSEMBLEIA DE DEUS NEEMIAS CRUZEIRO DO SUL - IGREJA EVANGELICA ASSEMBLEIA DE DEUS NEEMIAS CRUZEIRO D,NEEMIAS IGREJA EBANJELICA,IGREJA EVANGELICA ASSEMBLEIA DE DEUS MINISTERIO ADONAI EM RICARDO DE ALBUQUERQUE - IGREJA EV. ASS. DE DEUS MIN. ADONAI EM PARQUE ESPERANCA
IGREJA EVANGELICA ASSEMBLEIA DE DEUS NEEMIAS CRUZEIRO DO SUL - IGREJA EVANGELICA ASSEMBLEIA DE DEUS NEEMIAS CRUZEIRO D,NEEMIAS IGREJA EBANJELICA,MITRA DIOCESANA DE JALES - COMUNIDADE SAO JUDAS TADEU
CLINIPAM - CLINICA PARANAENSE DE ASSISTENCIA MEDICA LTDA - CLINIPAM CLINICA PARANENSE DE ASSISTENCIA MEDICA LTDA,CLINICA ASSISTENCIA,CRBS S/A - CDC CACERES
CLINIPAM - CLINICA PARANAENSE DE ASSISTENCIA MEDICA LTDA - CLINIPAM CLINICA PARANENSE DE ASSISTENCIA MEDICA LTDA,CLINICA ASSISTENCIA,COOPERATIVA MISTA SAO LUIZ LTDA - COOPERMIL
CLINIPAM - CLINICA PARANAENSE DE ASSISTENCIA MEDICA LTDA - CLINIPAM CLINICA PARANENSE DE ASSISTENCIA MEDICA LTDA,CLINICA ASSISTENCIA,IB ALIMENTOS LTDA - CPD IMPERADOR
BANCO SANTANDER (BRASIL) S.A. - BAURU II,SANTANDER,BESIX - BESIX
BANCO SANTANDER (BRASIL) S.A. - BAURU II,SANTANDER,MILI S/A - MILI
BANCO SANTANDER (BRASIL) S.A. - BAURU II,SANTANDER,INSTITUTO NASCE - CASA AMPARO
SECRETARIA DE ESTADO DE SAUDE - SES - POSTO LOTE XV-2,POSTO XV-2,GRAZZIOTIN S A - PORMENOS
SECRETARIA DE ESTADO DE SAUDE - SES - POSTO LOTE XV-2,POSTO XV-2,MAXXI BG PETROLEO LTDA - POSTO MAXXI 11
SECRETARIA DE ESTADO DE SAUDE - SES - POSTO LOTE XV-2,POSTO XV-2,RESIDENCIAL PHOENIX - PHOENIX
SECRETARIA DE ESTADO DE SAUDE - SES - UPA 24 HORAS - PENHA,UPA 24H PENHA,SSH MODA INTIMA LTDA - PURA AUDACIA
SECRETARIA DE ESTADO DE SAUDE - SES - UPA 24 HORAS - PENHA,UPA 24H PENHA,OKTHO LTDA - OKTHO
SECRETARIA DE ESTADO DE SAUDE - SES - UPA 24 HORAS - PENHA,UPA 24H PENHA,SECRETARIA DE ESTADO DE SAUDE - SES - UPA 24H VALENCA
"ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A. - FAAP - SP",ALPARK,CRBS S/A - CDC CACERES
"ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A. - FAAP - SP",ALPARK,INSTITUTO NASCE - CASA AMPARO
"ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A. - FAAP - SP",ALPARK,TIM CAR LIMITADA - TIM CAR
BANCO SANTANDER (BRASIL) S.A. - AGENCIA IBIRITE,IBIRITE BANCO,DELTASUL UTILIDADES LTDA - MIRANDOLI
BANCO SANTANDER (BRASIL) S.A. - AGENCIA IBIRITE,IBIRITE BANCO,INSTITUTO AMAGROUP - INSTITUTO AMAGROUP
BANCO SANTANDER (BRASIL) S.A. - AGENCIA IBIRITE,IBIRITE BANCO,RESIDENCIAL PHOENIX - PHOENIX
RCA ENTRETENIMENTO LTDA - ALTITUDE PARK,ALTITUDE PARKE,INSTITUTO NASCE - CASA AMPARO
RCA ENTRETENIMENTO LTDA - ALTITUDE PARK,ALTITUDE PARKE,BLANC RESIDENCE - BLANC RESIDENCE
RCA ENTRETENIMENTO LTDA - ALTITUDE PARK,ALTITUDE PARKE,TIM CAR LIMITADA - TIM CAR
RIO GRANDE DO SUL PODER JUDICIARIO - FORO DA COMARCA DE TRES COROAS,FORO TRES COROAS,RESIDENCIAL PHOENIX - PHOENIX
RIO GRANDE DO SUL PODER JUDICIARIO - FORO DA COMARCA DE TRES COROAS,FORO TRES COROAS,DAVI E DE SOUZA LANCHONETE - REI BURGUER
RIO GRANDE DO SUL PODER JUDICIARIO - FORO DA COMARCA DE TRES COROAS,FORO TRES COROAS,BESIX - BESIX
CONGREGACAO CRISTA NO BRASIL - CONGREGACAO CRISTA NO BRASIL - JARDIM ALPHAVILE,CONGREGACAO CRISTA,CONGREGACAO CRISTA NO BRASIL - CONGREGACAO CRISTA
CONGREGACAO CRISTA NO BRASIL - CONGREGACAO CRISTA NO BRASIL - JARDIM ALPHAVILE,CONGREGACAO CRISTA,CONGREGACAO CRISTA NO BRASIL - CONTENDA
CONGREGACAO CRISTA NO BRASIL - CONGREGACAO CRISTA NO BRASIL - JARDIM ALPHAVILE,CONGREGACAO CRISTA,CONGREGACAO CRISTA NO BRASIL - VILA BRITO
MITRA DIOCESANA DE CAXIAS DO SUL - PAROQUIA SAO PIO X,MITRA CAXIAS,DAVI E DE SOUZA LANCHONETE - REI BURGUER
MITRA DIOCESANA DE CAXIAS DO SUL - PAROQUIA SAO PIO X,MITRA CAXIAS,NILTON DE MATOS BOTUCATU - M&C PLAST
MITRA DIOCESANA DE CAXIAS DO SUL - PAROQUIA SAO PIO X,MITRA CAXIAS,ASSOCIACAO CAMPINEIRA DE SKATE - ACSKT
ORDEM DOS ADVOGADOS DO BRASIL - SECCAO DE SAO PAULO - SUB SECCAO OURINHOS,ORDEM ADBOGADOS,INSTITUTO AGENTE MUDA - I AM
ORDEM DOS ADVOGADOS DO BRASIL - SECCAO DE SAO PAULO - SUB SECCAO OURINHOS,ORDEM ADBOGADOS,HARDBALL LTDA EM RECUPERACAO JUDICIAL - CRAWFORD
ORDEM DOS ADVOGADOS DO BRASIL - SECCAO DE SAO PAULO - SUB SECCAO OURINHOS,ORDEM ADBOGADOS,DAVI E DE SOUZA LANCHONETE - REI BURGUER
VIA VENETO ROUPAS LTDA - BROOKSFIELD/BROOKSFIELD JUNIOR/VIA VENETO,BROOKS FIELD ROUPAS,RESIDENCIAL PHOENIX - PHOENIX
VIA VENETO ROUPAS LTDA - BROOKSFIELD/BROOKSFIELD JUNIOR/VIA VENETO,BROOKS FIELD ROUPAS,VIA VENETO ROUPAS LTDA - BROOKSFIELD
VIA VENETO ROUPAS LTDA - BROOKSFIELD/BROOKSFIELD JUNIOR/VIA VENETO,BROOKS FIELD ROUPAS,VIA VENETO ROUPAS LTDA - BROOKSFIELD DONNA
SOCIEDADE PORVIR CIENTIFICO - ESCOLA FUNDAMENTAL LA SALLE ESMERALDA,ESCOLA LA SAL ESMERALDA,SOCIEDADE PORVIR CIENTIFICO - COLEGIO LA SALLE
SOCIEDADE PORVIR CIENTIFICO - ESCOLA FUNDAMENTAL LA SALLE ESMERALDA,ESCOLA LA SAL ESMERALDA,RESIDENCIAL PHOENIX - PHOENIX
SOCIEDADE PORVIR CIENTIFICO - ESCOLA FUNDAMENTAL LA SALLE ESMERALDA,ESCOLA LA SAL ESMERALDA,RESTAURANTE GLORIA LTDA - RESTAURANTE GLORIA
BANCO SANTANDER (BRASIL) S.A. - AGENCIA URB-VITORIA-PCA.G.VARGAS,SANTANDER AJENSIA,PGL TRANSPORTES LTDA - PAPALEGUAS TRANSPORTE
BANCO SANTANDER (BRASIL) S.A. - AGENCIA URB-VITORIA-PCA.G.VARGAS,SANTANDER AJENSIA,BESIX - BESIX
BANCO SANTANDER (BRASIL) S.A. - AGENCIA URB-VITORIA-PCA.G.VARGAS,SANTANDER AJENSIA,GRAZZIOTIN S A - POR MENOS
BESIX - BESIX,BESSIX BRASIL,SMTDA TURISMO LTDA - SMARTTRIP BRASIL
BESIX - BESIX,BESSIX BRASIL,BABY WORLD LTDA - GARMO
BESIX - BESIX,BESSIX BRASIL,RESIDENCIAL PHOENIX - PHOENIX
SCP CONSTANTIA PARTICIPACOES - SCP CONSTANTIA PARTICIPACOES,CONSTANTIA S.A.,SAPORE S.A. - CR 1017
SCP CONSTANTIA PARTICIPACOES - SCP CONSTANTIA PARTICIPACOES,CONSTANTIA S.A.,SAPORE S.A. - CR 1002
SCP CONSTANTIA PARTICIPACOES - SCP CONSTANTIA PARTICIPACOES,CONSTANTIA S.A.,SAPORE S.A. - CR 307
ASSOCIACAO BRASILEIRA D'A IGREJA DE JESUS CRISTO DOS SANTOS DOS ULTIMOS DIAS - VILA FERNANDES,IGREJA VILA,UNETRAL SA - POSTO UNIAO
ASSOCIACAO BRASILEIRA D'A IGREJA DE JESUS CRISTO DOS SANTOS DOS ULTIMOS DIAS - VILA FERNANDES,IGREJA VILA,COOPERATIVA MISTA SAO LUIZ LTDA - COOPERMIL
ASSOCIACAO BRASILEIRA D'A IGREJA DE JESUS CRISTO DOS SANTOS DOS ULTIMOS DIAS - VILA FERNANDES,IGREJA VILA,CRBS S/A - CDC CACERES
"ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A. - TERRENO DELPHINO CINTRA",DELPHINO,RESIDENCIAL PHOENIX - PHOENIX
"ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A. - TERRENO DELPHINO CINTRA",DELPHINO,MILI S/A - MILI
"ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A. - TERRENO DELPHINO CINTRA",DELPHINO,INSTITUTO NASCE - CASA AMPARO
BANCO SANTANDER (BRASIL) S.A. - PA TABULEIRO-MACEIO-AL,PA TABELIRO MASEIO,GRAZZIOTIN S A - POR MENOS
BANCO SANTANDER (BRASIL) S.A. - PA TABULEIRO-MACEIO-AL,PA TABELIRO MASEIO,RODOPAES ALIMENTOS LTDA - NEMA PRAIA DO CANTO
BANCO SANTANDER (BRASIL) S.A. - PA TABULEIRO-MACEIO-AL,PA TABELIRO MASEIO,RESIDENCIAL PHOENIX - PHOENIX
PA INCORPORATION - SCP - PA INCORPORATION LTDA - SCP,PA SCP,EOL - EOL
PA INCORPORATION - SCP - PA INCORPORATION LTDA - SCP,PA SCP,BESIX - BESIX
PA INCORPORATION - SCP - PA INCORPORATION LTDA - SCP,PA SCP,IB ALIMENTOS LTDA - CPD IMPERADOR
BANCO SANTANDER (BRASIL) S.A. - PA CABEDELO-PB,SANTANDER PB,GRAZZIOTIN S A - POR MENOS
BANCO SANTANDER (BRASIL) S.A. - PA CABEDELO-PB,SANTANDER PB,BESIX - BESIX
BANCO SANTANDER (BRASIL) S.A. - PA CABEDELO-PB,SANTANDER PB,MILI S/A - MILI
R & A LAVANDERIA LTDA - LAVE E PEGUE LAVANDERIA,LAVE E PEEG,GRAZZIOTIN S A - TOTTAL CASA E CONFORTO
R & A LAVANDERIA LTDA - LAVE E PEGUE LAVANDERIA,LAVE E PEEG,GRAZZIOTIN S A - TOTTAL CASA & LAZER
R & A LAVANDERIA LTDA - LAVE E PEGUE LAVANDERIA,LAVE E PEEG,GRAZZIOTIN S A - GZT
INSTITUTO ACAO SOCIAL - IAS,INSTITUTO ACÃO,RESIDENCIAL PHOENIX - PHOENIX
INSTITUTO ACAO SOCIAL - IAS,INSTITUTO ACÃO,INSTITUTO AGENTE MUDA - I AM
INSTITUTO ACAO SOCIAL - IAS,INSTITUTO ACÃO,COOPERATIVA MISTA SAO LUIZ LTDA - COOPERMIL
BOLOGNESI EMPREENDIMENTOS LTDA - COND FAZENDA ESPERANCA 242 -CAMPO BELO III- LT 06 Q G-2,CONDOMINIO FAZENDA,CONJUNTO HABITACIONAL SALOME - CONDOMINIO EDIFICIO SELVA DE PEDRA 137
BOLOGNESI EMPREENDIMENTOS LTDA - COND FAZENDA ESPERANCA 242 -CAMPO BELO III- LT 06 Q G-2,CONDOMINIO FAZENDA,CONDOMINIO DOM JOAQUIM - CONDOMINIO DOM JOAQUIM
BOLOGNESI EMPREENDIMENTOS LTDA - COND FAZENDA ESPERANCA 242 -CAMPO BELO III- LT 06 Q G-2,CONDOMINIO FAZENDA,CONDOMINIO EDIFICIO SAO SEBASTIAO - CONDOMINIO EDIFICIO SAO SEBASTIAO
CHAPECO COMPANHIA INDUSTRIAL DE ALIMENTOS - FILIAL TAMBORE,FIL TAMBORE,RESIDENCIAL PHOENIX - PHOENIX
CHAPECO COMPANHIA INDUSTRIAL DE ALIMENTOS - FILIAL TAMBORE,FIL TAMBORE,MILI S/A - MILI
CHAPECO COMPANHIA INDUSTRIAL DE ALIMENTOS - FILIAL TAMBORE,FIL TAMBORE,IB ALIMENTOS LTDA - CPD IMPERADOR
BANCO SANTANDER (BRASIL) S.A. - ASSEMBLEIA-RIO-RJ,SANTANDER RIO,CRBS S/A - CDC CACERES
BANCO SANTANDER (BRASIL) S.A. - ASSEMBLEIA-RIO-RJ,SANTANDER RIO,MILI S/A - MILI
BANCO SANTANDER (BRASIL) S.A. - ASSEMBLEIA-RIO-RJ,SANTANDER RIO,BESIX - BESIX
WMS SUPERMERCADOS DO BRASIL LTDA. - BIG SHOP,BIGS SHOP,BABY WORLD LTDA - GARMO
WMS SUPERMERCADOS DO BRASIL LTDA. - BIG SHOP,BIGS SHOP,TIM CAR LIMITADA - TIM CAR
WMS SUPERMERCADOS DO BRASIL LTDA. - BIG SHOP,BIGS SHOP,RESIDENCIAL PHOENIX - PHOENIX
SAPORE S.A. - CR 2922,CR2922,SAPORE S.A. - CR 4682
SAPORE S.A. - CR 2922,CR2922,CRBS S/A - CDR FULLFILMENT RJ
SAPORE S.A. - CR 2922,CR2922,DN PAES LTDA - ND PAES
BANCO SANTANDER (BRASIL) S.A. - CASA 03,SANTANDER CASA,BLANC RESIDENCE - BLANC RESIDENCE
BANCO SANTANDER (BRASIL) S.A. - CASA 03,SANTANDER CASA,CRBS S/A - CDC CACERES
BANCO SANTANDER (BRASIL) S.A. - CASA 03,SANTANDER CASA,BESIX - BESIX
MARQUESA S/A EM RECUPERACAO JUDICIAL - MARQUESA,MARKESA SA,UNETRAL SA - POSTO UNIAO
MARQUESA S/A EM RECUPERACAO JUDICIAL - MARQUESA,MARKESA SA,BESIX - BESIX
MARQUESA S/A EM RECUPERACAO JUDICIAL - MARQUESA,MARKESA SA,GRAZZIOTIN S A - POR MENOS
PB ADMINISTRADORA DE ESTACIONAMENTOS LTDA - RIOS DOR,RIOS DOR CONTENPORANEO,M J RAMOS BEZERRA LINS - NUTRISERVICE
PB ADMINISTRADORA DE ESTACIONAMENTOS LTDA - RIOS DOR,RIOS DOR CONTENPORANEO,MARCOS ANTONIO VESCOVI - MARCOS RELOJOEIRO
PB ADMINISTRADORA DE ESTACIONAMENTOS LTDA - RIOS DOR,RIOS DOR CONTENPORANEO,LAR VICENTINO DE UBATUBA - CAVALO MARINHO
ITTO CONSTRUTORA E REFORMA DE IMOVEIS LTDA - ITTO CONSTRUTORA E REFORMA DE IMOVEIS,ITTO REFORMAS,INSTITUTO NASCE - CASA AMPARO
ITTO CONSTRUTORA E REFORMA DE IMOVEIS LTDA - ITTO CONSTRUTORA E REFORMA DE IMOVEIS,ITTO REFORMAS,MILI S/A - MILI
ITTO CONSTRUTORA E REFORMA DE IMOVEIS LTDA - ITTO CONSTRUTORA E REFORMA DE IMOVEIS,ITTO REFORMAS,GRAZZIOTIN S A - POR MENOS
CMT COMERCIO DE PRODUTOS SANEANTES LTDA - CLORO MATO GROSSO ADM,PRODUTOS SANEANTES,SAVI COSMETICOS LTDA - WE PINK
CMT COMERCIO DE PRODUTOS SANEANTES LTDA - CLORO MATO GROSSO ADM,PRODUTOS SANEANTES,A C PRODUTOS ALIMENTICIOS E BEBIDAS LTDA - SPOLETO
CMT COMERCIO DE PRODUTOS SANEANTES LTDA - CLORO MATO GROSSO ADM,PRODUTOS SANEANTES,AF PEDROSA SANTOS LTDA - ENFISIO ESPECIALIDADES
FC AND E MANAGEMENT SERVICES DO BRASIL LTDA - FC AND E,FC AND E BRASIL,INSTITUTO AGENTE MUDA - I AM
FC AND E MANAGEMENT SERVICES DO BRASIL LTDA - FC AND E,FC AND E BRASIL,F. CARVALHO SPORTS E ENTERTAINMENT LTDA - GO SPORTS
FC AND E MANAGEMENT SERVICES DO BRASIL LTDA - FC AND E,FC AND E BRASIL,ASSOCIACAO CAMPINEIRA DE SKATE - ACSKT
BANCO SANTANDER (BRASIL) S.A. - HERCILIO LUZ-ITAJAI-SC,SANTANDER HERSILIO,R SARMENTO SILVA ALBUQUERQUE - LOJAS PAVONE
BANCO SANTANDER (BRASIL) S.A. - HERCILIO LUZ-ITAJAI-SC,SANTANDER HERSILIO,GRAZZIOTIN S A - POR MENOS
BANCO SANTANDER (BRASIL) S.A. - HERCILIO LUZ-ITAJAI-SC,SANTANDER HERSILIO,R RODRIGUES DE ALMEIDA - MERCADINHO LR
"COOPERATIVA DE CREDITO, POUPANCA E INVESTIMENTO DE LAJEADO - SICREDI INTEGRACAO RS/MG - UNIDADE DE ATENDIMENTO FORQUETINHA",COOPERATIVA FORQUETINHA,COOPERATIVA DE PRODUCAO E CONSUMO CONCORDIA - COPERDIA
"COOPERATIVA DE CREDITO, POUPANCA E INVESTIMENTO DE LAJEADO - SICREDI INTEGRACAO RS/MG - UNIDADE DE ATENDIMENTO FORQUETINHA",COOPERATIVA FORQUETINHA,COOPERATIVA TRITICOLA SANTA ROSA LTDA - COTRIROSA
"COOPERATIVA DE CREDITO, POUPANCA E INVESTIMENTO DE LAJEADO - SICREDI INTEGRACAO RS/MG - UNIDADE DE ATENDIMENTO FORQUETINHA",COOPERATIVA FORQUETINHA,UNETRAL SA - POSTO UNIAO
CONGREGACAO CRISTA NO BRASIL - CONGREGACAO CRISTA NO BRASIL - CACHOEIRA,CCB CAXOEIRA,LAR VICENTINO DE UBATUBA - CAVALO MARINHO
CONGREGACAO CRISTA NO BRASIL - CONGREGACAO CRISTA NO BRASIL - CACHOEIRA,CCB CAXOEIRA,INSTITUTO NASCE - CASA AMPARO
CONGREGACAO CRISTA NO BRASIL - CONGREGACAO CRISTA NO BRASIL - CACHOEIRA,CCB CAXOEIRA,FARMACIA VALE VERDE LTDA - VALE POPULAR
FUNDACAO CENTRO DE ATENDIMENTO SOCIOEDUCATIVO AO ADOLESCENTE - FUNDACAO CASA - SP - CASA RIO TURIASSU,RIO TURIASU,UNETRAL SA - POSTO UNIAO
FUNDACAO CENTRO DE ATENDIMENTO SOCIOEDUCATIVO AO ADOLESCENTE - FUNDACAO CASA - SP - CASA RIO TURIASSU,RIO TURIASU,BESIX - BESIX
FUNDACAO CENTRO DE ATENDIMENTO SOCIOEDUCATIVO AO ADOLESCENTE - FUNDACAO CASA - SP - CASA RIO TURIASSU,RIO TURIASU,INSTITUTO AGENTE MUDA - I AM
BOLOGNESI EMPREENDIMENTOS LTDA - COND FAZENDA ESPERANCA 198 -CAMPO BELO III- LT 17 Q G-1,COND FAZENDA,R RODRIGUES DE ALMEIDA - MERCADINHO LR
BOLOGNESI EMPREENDIMENTOS LTDA - COND FAZENDA ESPERANCA 198 -CAMPO BELO III- LT 17 Q G-1,COND FAZENDA,DEPARTAMENTO MUNICIPAL DE HABITACAO - DEMHAB
BOLOGNESI EMPREENDIMENTOS LTDA - COND FAZENDA ESPERANCA 198 -CAMPO BELO III- LT 17 Q G-1,COND FAZENDA,INSTITUTO NASCE - CASA AMPARO
F A BEZERRA CONSTRUCOES - BEZERRA CONSTRUCOES,BEZERRA CONSTRUÇÕES,AF FUNDACOES E CONSTRUCOES LTDA - FUNDACAO FERREIRA
F A BEZERRA CONSTRUCOES - BEZERRA CONSTRUCOES,BEZERRA CONSTRUÇÕES,CELANO E GAVINHOS EDUCACAO LTDA - POLO LIMAO
F A BEZERRA CONSTRUCOES - BEZERRA CONSTRUCOES,BEZERRA CONSTRUÇÕES,FRANCISCO ALDEMIR BEZERRA DE SOUZA LTDA - FISSURA
REFEICOES NATURAS LTDA - NATURAS -308,NATURAS REFEICOES,REFEICOES NATURAS LTDA - NATURAS 851
REFEICOES NATURAS LTDA - NATURAS -308,NATURAS REFEICOES,REFEICOES NATURAS LTDA - REFEICOES NATURAS
REFEICOES NATURAS LTDA - NATURAS -308,NATURAS REFEICOES,REFEICOES NATURAS LTDA - 684
BANCO SANTANDER (BRASIL) S.A. - PA BAURU-CENTRO V,BAURU SANTANDER,INSTITUTO NASCE - CASA AMPARO
BANCO SANTANDER (BRASIL) S.A. - PA BAURU-CENTRO V,BAURU SANTANDER,UNETRAL SA - POSTO UNIAO
BANCO SANTANDER (BRASIL) S.A. - PA BAURU-CENTRO V,BAURU SANTANDER,GRAZZIOTIN S A - POR MENOS
BANCO SANTANDER (BRASIL) S.A. - LONDRINA-PR I,SANTANDER BRASIL,BESIX - BESIX
BANCO SANTANDER (BRASIL) S.A. - LONDRINA-PR I,SANTANDER BRASIL,INSTITUTO NASCE - CASA AMPARO
BANCO SANTANDER (BRASIL) S.A. - LONDRINA-PR I,SANTANDER BRASIL,IB ALIMENTOS LTDA - CPD IMPERADOR
SECRETARIA DE ESTADO DA SAUDE - 5 REGIONAL DE SAUDE,5 REGIONAL DE SAUDE,SECRETARIA DE ESTADO DA SAUDE - SP SSA FESIMA
SECRETARIA DE ESTADO DA SAUDE - 5 REGIONAL DE SAUDE,5 REGIONAL DE SAUDE,DEPARTAMENTO MUNICIPAL DE HABITACAO - DEMHAB
SECRETARIA DE ESTADO DA SAUDE - 5 REGIONAL DE SAUDE,5 REGIONAL DE SAUDE,SECRETARIA DE ESTADO DA SAUDE - AME TAUBATE
COOPERATIVA DE CREDITO POUPANCA E INVESTIMENTO DEXIS SICREDI DEXIS - UNIDADE DE ATENDIMENTO DE SARANDI,CREDITO DEXIS,BESIX - BESIX
COOPERATIVA DE CREDITO POUPANCA E INVESTIMENTO DEXIS SICREDI DEXIS - UNIDADE DE ATENDIMENTO DE SARANDI,CREDITO DEXIS,GRAZZIOTIN S A - POR MENOS
